date, pm25, pm10, o3, no2, so2, co
2024/3/2, 44, , , 7, , 1
2024/3/3, 29, , , , , 
2024/2/2, 35, , , 30, 1, 6
2024/2/3, 48, , , 7, , 2
2024/2/4, 14, , , 5, , 2
2024/2/5, 18, , , 17, 3, 3
2024/2/6, 45, , , 13, , 3
2024/2/7, 66, , , 11, , 3
2024/2/8, 66, , , 15, , 4
2024/2/9, 71, , , 17, , 3
2024/2/10, 39, , , 32, , 5
2024/2/11, 40, , , 18, , 4
2024/2/12, 23, , , 25, 1, 4
2024/2/13, 29, , , 10, , 3
2024/2/14, 15, , , 16, , 4
2024/2/15, 22, , , 21, , 4
2024/2/16, 53, , , 24, 2, 4
2024/2/17, 33, , , 25, 1, 5
2024/2/18, 31, , , 18, 1, 5
2024/2/19, 29, , , 28, , 6
2024/2/20, 43, , , 32, , 7
2024/2/21, 52, , , 23, 1, 5
2024/2/22, 49, , , 20, , 5
2024/2/23, 32, , , 7, , 3
2024/2/24, 10, , , 8, , 4
2024/2/25, 13, , , 5, , 4
2024/2/26, 14, , , 4, , 4
2024/2/27, 17, , , 7, , 4
2024/2/28, 25, , , 21, 1, 4
2024/2/29, 48, , , 8, , 1
2024/3/1, 17, , , 7, , 1
2024/1/2, 35, , , 19, 1, 7
2024/1/3, 61, , , 13, , 5
2024/1/4, 79, , , 26, , 8
2024/1/5, 61, , , 23, , 7
2024/1/6, 37, , , 24, , 8
2024/1/7, 63, , , 10, , 6
2024/1/8, 51, , , 33, 1, 10
2024/1/9, 62, , , 22, 1, 8
2024/1/10, 60, , , 9, , 6
2024/1/11, 41, , , 5, , 6
2024/1/12, 25, , , 14, 1, 6
2024/1/13, 43, , , 30, , 7
2024/1/14, 55, , , 33, , 8
2024/1/15, 80, , , 36, 1, 9
2024/1/16, 51, , , 22, 1, 7
2024/1/17, 28, , , 11, , 7
2024/1/18, 50, , , 21, 1, 6
2024/1/19, 94, , , 29, , 3
2024/1/20, 77, , , 34, , 3
2024/1/21, 103, , , 19, 1, 2
2024/1/22, 137, , , 16, , 1
2024/1/23, 104, , , 40, 1, 8
2024/1/24, 79, , , 50, 1, 10
2024/1/25, 60, , , 33, , 3
2024/1/26, 22, , , 42, , 6
2024/1/27, 44, , , 27, 1, 5
2024/1/28, 34, , , 30, 1, 5
2024/1/29, 52, , , 45, 1, 12
2024/1/30, 57, , , 33, 1, 4
2024/1/31, 29, , , 32, 1, 5
2024/2/1, 37, , , 29, 1, 4
2023/10/2, 39, , , 7, , 3
2023/10/3, 25, , , 12, 1, 2
2023/10/4, 21, , , 12, , 2
2023/10/5, 15, , , 10, , 3
2023/10/6, 19, , , 17, 1, 3
2023/10/7, 27, , , 12, 1, 3
2023/10/8, 21, , , 15, , 3
2023/10/9, 28, , , 17, 1, 4
2023/10/10, 44, , , 16, , 3
2023/10/11, 35, , , 13, , 2
2023/10/12, 19, , , 5, , 1
2023/10/13, 26, , , 6, , 1
2023/10/14, 36, , , 7, , 2
2023/10/15, 31, , , 13, , 3
2023/10/16, 21, , , 26, , 5
2023/10/17, 42, , , 12, , 2
2023/10/18, 11, , , 18, 1, 2
2023/10/19, 16, , , 16, 1, 3
2023/10/20, 23, , , 15, 1, 3
2023/10/21, 24, , , 10, , 3
2023/10/22, 26, , , 4, , 3
2023/10/23, 28, , , 4, , 3
2023/10/24, 27, , , 6, , 3
2023/10/25, 19, , , 20, , 3
2023/10/26, 47, , , 13, , 3
2023/10/27, 33, , , 12, 1, 3
2023/10/28, 17, , , 13, , 3
2023/10/29, 14, , , 22, 1, 4
2023/10/30, 36, , , 18, 1, 4
2023/10/31, 45, , , 24, 1, 5
2023/11/1, 64, , , 34, 1, 8
2023/11/2, 91, , , 21, 1, 5
2023/11/3, 65, , , 26, 1, 6
2023/11/4, 88, , , 27, , 8
2023/11/5, 74, , , 20, , 5
2023/11/6, 34, , , 25, 1, 6
2023/11/7, 52, , , 17, 1, 5
2023/11/8, 41, , , 27, , 6
2023/11/9, 41, , , 27, , 5
2023/11/10, 54, , , 14, , 1
2023/11/11, 38, , , 6, , 1
2023/11/12, 15, , , 14, , 1
2023/11/13, 19, , , 16, , 2
2023/11/14, 27, , , 23, , 2
2023/11/15, 35, , , 23, 1, 3
2023/11/16, 44, , , 29, , 4
2023/11/17, 52, , , 21, , 2
2023/11/18, 24, , , 22, 1, 3
2023/11/19, 46, , , 19, , 3
2023/11/20, 33, , , 19, , 2
2023/11/21, 33, , , 31, 1, 4
2023/11/22, 49, , , 18, , 3
2023/11/23, 48, , , 16, , 3
2023/11/24, 52, , , 22, 1, 3
2023/11/25, 43, , , 11, 1, 3
2023/11/26, 21, , , 18, 1, 3
2023/11/27, 32, , , 22, 1, 4
2023/11/28, 36, , , 22, 1, 4
2023/11/29, 35, , , 13, 1, 3
