date,pm25
2024-03-02,44.0
2024-03-03,29.0
2024-02-02,35.0
2024-02-03,48.0
2024-02-04,14.0
2024-02-05,18.0
2024-02-06,45.0
2024-02-07,66.0
2024-02-08,66.0
2024-02-09,71.0
2024-02-10,39.0
2024-02-11,40.0
2024-02-12,23.0
2024-02-13,29.0
2024-02-14,15.0
2024-02-15,22.0
2024-02-16,53.0
2024-02-17,33.0
2024-02-18,31.0
2024-02-19,29.0
2024-02-20,43.0
2024-02-21,52.0
2024-02-22,49.0
2024-02-23,32.0
2024-02-24,10.0
2024-02-25,13.0
2024-02-26,14.0
2024-02-27,17.0
2024-02-28,25.0
2024-02-29,48.0
2024-03-01,17.0
2024-01-02,35.0
2024-01-03,61.0
2024-01-04,79.0
2024-01-05,61.0
2024-01-06,37.0
2024-01-07,63.0
2024-01-08,51.0
2024-01-09,62.0
2024-01-10,60.0
2024-01-11,41.0
2024-01-12,25.0
2024-01-13,43.0
2024-01-14,55.0
2024-01-15,80.0
2024-01-16,51.0
2024-01-17,28.0
2024-01-18,50.0
2024-01-19,94.0
2024-01-20,77.0
2024-01-21,103.0
2024-01-22,137.0
2024-01-23,104.0
2024-01-24,79.0
2024-01-25,60.0
2024-01-26,22.0
2024-01-27,44.0
2024-01-28,34.0
2024-01-29,52.0
2024-01-30,57.0
2024-01-31,29.0
2024-02-01,37.0
2023-10-02,39.0
2023-10-03,25.0
2023-10-04,21.0
2023-10-05,15.0
2023-10-06,19.0
2023-10-07,27.0
2023-10-08,21.0
2023-10-09,28.0
2023-10-10,44.0
2023-10-11,35.0
2023-10-12,19.0
2023-10-13,26.0
2023-10-14,36.0
2023-10-15,31.0
2023-10-16,21.0
2023-10-17,42.0
2023-10-18,11.0
2023-10-19,16.0
2023-10-20,23.0
2023-10-21,24.0
2023-10-22,26.0
2023-10-23,28.0
2023-10-24,27.0
2023-10-25,19.0
2023-10-26,47.0
2023-10-27,33.0
2023-10-28,17.0
2023-10-29,14.0
2023-10-30,36.0
2023-10-31,45.0
2023-11-01,64.0
2023-11-02,91.0
2023-11-03,65.0
2023-11-04,88.0
2023-11-05,74.0
2023-11-06,34.0
2023-11-07,52.0
2023-11-08,41.0
2023-11-09,41.0
2023-11-10,54.0
2023-11-11,38.0
2023-11-12,15.0
2023-11-13,19.0
2023-11-14,27.0
2023-11-15,35.0
2023-11-16,44.0
2023-11-17,52.0
2023-11-18,24.0
2023-11-19,46.0
2023-11-20,33.0
2023-11-21,33.0
2023-11-22,49.0
2023-11-23,48.0
2023-11-24,52.0
2023-11-25,43.0
2023-11-26,21.0
2023-11-27,32.0
2023-11-28,36.0
2023-11-29,35.0
2023-11-30,26.0
2023-12-01,42.0
2023-12-02,66.0
2023-12-03,35.0
2023-12-04,27.0
2023-12-05,30.0
2023-12-06,39.0
2023-12-07,33.0
2023-12-08,27.0
2023-12-09,52.0
2023-12-10,42.0
2023-12-11,10.0
2023-12-12,29.0
2023-12-13,46.0
2023-12-14,92.0
2023-12-15,37.0
2023-12-16,63.0
2023-12-17,37.0
2023-12-18,33.0
2023-12-19,53.0
2023-12-20,66.0
2023-12-21,63.0
2023-12-22,48.0
2023-12-23,49.0
2023-12-24,18.0
2023-12-25,48.0
2023-12-26,70.0
2023-12-27,33.0
2023-12-28,60.0
2023-12-29,38.0
2023-12-30,57.0
2023-12-31,72.0
2024-01-01,36.0
2023-07-02,36.0
2023-07-03,15.0
2023-07-04,38.0
2023-07-05,36.0
2023-07-06,33.0
2023-07-07,60.0
2023-07-08,52.0
2023-07-09,54.0
2023-07-10,72.0
2023-07-11,119.0
2023-07-12,57.0
2023-07-13,59.0
2023-07-14,135.0
2023-07-15,121.0
2023-07-16,137.0
2023-07-17,126.0
2023-07-18,105.0
2023-07-19,28.0
2023-07-20,60.0
2023-07-21,63.0
2023-07-22,56.0
2023-07-23,44.0
2023-07-24,87.0
2023-07-25,65.0
2023-07-26,52.0
2023-07-27,18.0
2023-07-28,18.0
2023-07-29,18.0
2023-07-30,20.0
2023-07-31,35.0
2023-08-01,39.0
2023-08-02,50.0
2023-08-03,45.0
2023-08-04,66.0
2023-08-05,59.0
2023-08-06,49.0
2023-08-07,59.0
2023-08-08,61.0
2023-08-09,81.0
2023-08-10,62.0
2023-08-11,28.0
2023-08-12,18.0
2023-08-13,21.0
2023-08-14,24.0
2023-08-15,33.0
2023-08-16,55.0
2023-08-17,77.0
2023-08-18,114.0
2023-08-19,63.0
2023-08-20,52.0
2023-08-21,97.0
2023-08-22,63.0
2023-08-23,41.0
2023-08-24,44.0
2023-08-25,61.0
2023-08-26,62.0
2023-08-27,60.0
2023-08-28,68.0
2023-08-29,74.0
2023-08-30,72.0
2023-08-31,74.0
2023-09-01,104.0
2023-09-02,75.0
2023-09-03,41.0
2023-09-04,123.0
2023-09-05,194.0
2023-09-06,144.0
2023-09-07,59.0
2023-09-08,34.0
2023-09-09,41.0
2023-09-10,42.0
2023-09-11,37.0
2023-09-12,43.0
2023-09-13,37.0
2023-09-14,33.0
2023-09-15,37.0
2023-09-16,55.0
2023-09-17,42.0
2023-09-18,59.0
2023-09-19,72.0
2023-09-20,37.0
2023-09-21,23.0
2023-09-22,48.0
2023-09-23,59.0
2023-09-24,35.0
2023-09-25,37.0
2023-09-26,48.0
2023-09-27,31.0
2023-09-28,15.0
2023-09-29,14.0
2023-09-30,19.0
2023-10-01,64.0
2023-04-02,11.0
2023-04-03,7.0
2023-04-04,35.0
2023-04-05,44.0
2023-04-06,30.0
2023-04-07,45.0
2023-04-08,27.0
2023-04-09,11.0
2023-04-10,12.0
2023-04-11,11.0
2023-04-12,14.0
2023-04-13,23.0
2023-04-14,29.0
2023-04-15,31.0
2023-04-16,28.0
2023-04-17,22.0
2023-04-18,25.0
2023-04-19,29.0
2023-04-20,20.0
2023-04-21,22.0
2023-04-22,30.0
2023-04-23,24.0
2023-04-24,18.0
2023-04-25,21.0
2023-04-26,24.0
2023-04-27,27.0
2023-04-28,10.0
2023-04-29,30.0
2023-04-30,35.0
2023-05-01,27.0
2023-05-02,46.0
2023-05-03,52.0
2023-05-04,55.0
2023-05-05,42.0
2023-05-06,32.0
2023-05-07,29.0
2023-05-08,25.0
2023-05-09,27.0
2023-05-10,34.0
2023-05-11,37.0
2023-05-12,32.0
2023-05-13,23.0
2023-05-14,42.0
2023-05-15,38.0
2023-05-16,91.0
2023-05-17,176.0
2023-05-18,193.0
2023-05-19,99.0
2023-05-20,83.0
2023-05-21,171.0
2023-05-22,97.0
2023-05-23,98.0
2023-05-24,8.0
2023-05-25,25.0
2023-05-26,62.0
2023-05-27,77.0
2023-05-28,56.0
2023-05-29,33.0
2023-05-30,31.0
2023-05-31,63.0
2023-06-01,70.0
2023-06-02,27.0
2023-06-03,42.0
2023-06-04,72.0
2023-06-05,56.0
2023-06-06,52.0
2023-06-07,49.0
2023-06-08,60.0
2023-06-09,54.0
2023-06-10,67.0
2023-06-11,49.0
2023-06-12,99.0
2023-06-13,60.0
2023-06-14,52.0
2023-06-15,24.0
2023-06-16,129.0
2023-06-17,82.0
2023-06-18,18.0
2023-06-19,11.0
2023-06-20,6.0
2023-06-21,13.0
2023-06-22,22.0
2023-06-23,18.0
2023-06-24,29.0
2023-06-25,21.0
2023-06-26,33.0
2023-06-27,32.0
2023-06-28,42.0
2023-06-29,49.0
2023-06-30,43.0
2023-07-01,46.0
2023-01-03,39.0
2023-01-04,57.0
2023-01-05,17.0
2023-01-06,46.0
2023-01-07,28.0
2023-01-08,54.0
2023-01-09,50.0
2023-01-10,41.0
2023-01-11,51.0
2023-01-12,61.0
2023-01-13,80.0
2023-01-14,56.0
2023-01-15,43.0
2023-01-16,81.0
2023-01-17,59.0
2023-01-18,44.0
2023-01-19,68.0
2023-01-20,22.0
2023-01-21,20.0
