date, pm25, o3, no2, so2, co
2022/9/10, 22, , 8, 2, 3
2022/9/11, 89, , 8, 1, 3
2022/9/12, 131, , 6, 7, 2
2022/9/13, 35, , 9, , 3
2022/9/14, 70, , 12, , 4
2022/9/15, 83, , , , 
2021/1/5, 11, , 19, , 4
2021/1/6, 16, , 16, 1, 4
2021/1/7, 10, , 30, 1, 6
2021/1/8, 25, , 28, 1, 6
2021/1/9, 48, , 29, , 6
2021/1/10, 45, , 22, , 6
2021/1/11, 35, , 26, , 6
2021/1/12, 21, , 24, , 5
2021/1/13, 17, , 18, 2, 6
2021/1/14, 27, , 17, , 5
2021/1/15, 15, , 14, 1, 5
2021/1/16, 11, , 8, 2, 5
2021/1/17, 8, , 14, 1, 5
2021/1/18, 9, , 13, 5, 5
2021/1/19, 15, , 15, 1, 5
2021/1/20, 12, , 6, 2, 5
2021/1/21, 9, , 17, 1, 5
2021/1/22, 7, , 13, 1, 5
2021/1/23, 13, , 11, 7, 5
2021/1/24, 14, , 10, , 5
2021/1/25, 10, , 16, , 5
2021/1/26, 11, , 15, 1, 5
2021/1/27, 13, , 19, 2, 6
2021/1/28, 29, , 35, , 5
2021/1/29, 50, , 26, 1, 3
2021/1/30, 69, , 25, , 3
2021/1/31, 75, , 27, 2, 3
2021/2/1, 68, , 26, 1, 3
2021/2/2, 70, , 12, 1, 2
2021/2/3, 30, , 18, , 2
2021/2/4, 21, , 22, 1, 3
2021/2/5, 39, , 17, 2, 2
2021/2/6, 17, , 26, 4, 3
2021/2/7, 28, , 35, 2, 4
2021/2/8, 53, , 26, 1, 3
2021/2/9, 45, , 14, 1, 2
2021/2/10, 14, , 13, , 2
2021/2/11, 11, , 12, , 3
2021/2/12, 9, , 14, 4, 2
2021/2/13, 13, , 18, 1, 3
2021/2/14, 16, , 15, 1, 3
2021/2/15, 9, , 15, , 3
2021/2/16, 12, , 29, 2, 4
2021/2/17, 21, , 30, 1, 4
2021/2/18, 17, , 26, 1, 4
2021/2/19, 10, , 24, 1, 4
2021/2/20, 12, , 14, 1, 3
2021/2/21, 14, , 14, 1, 3
2021/2/22, 5, , 10, , 3
2021/2/23, 15, , 13, 1, 4
2021/2/24, 4, , 17, 1, 4
2021/2/25, 5, , 18, 1, 3
2021/2/26, 8, , 8, 1, 2
2021/2/27, 16, , 15, 1, 2
2021/2/28, 38, , 12, 2, 2
2021/3/1, 55, , 24, 1, 3
2021/3/2, 43, , 17, 1, 3
2021/3/3, 23, , 20, , 3
2021/3/4, 59, , 19, 1, 4
2021/3/5, 62, , 16, 1, 3
2021/3/6, 57, , 18, , 3
2021/3/7, 35, , 20, , 4
2021/3/8, 32, , 25, , 3
2021/3/9, 31, , , , 
2020/10/2, 19, , 13, , 4
2020/10/3, 25, , 14, , 3
2020/10/4, 35, , 9, 1, 3
2020/10/5, 44, , 10, 1, 2
2020/10/6, 17, , 8, , 2
2020/10/7, 16, , 14, , 2
2020/10/8, 19, , 9, , 2
2020/10/9, 13, , 13, 1, 3
2020/10/10, 14, , 9, 14, 3
2020/10/11, 17, , 4, , 3
2020/10/12, 6, , 6, , 3
2020/10/13, 8, , 12, 2, 3
2020/10/14, 17, , 8, , 3
2020/10/15, 11, , 9, , 3
2020/10/16, 7, , 13, 1, 3
2020/10/17, 12, , 8, , 3
2020/10/18, 8, , 10, , 3
2020/10/19, 13, , 10, , 3
2020/10/20, 15, , 17, 2, 3
2020/10/21, 19, , 11, , 3
2020/10/22, 18, , 11, , 2
2020/10/23, 14, , 14, 4, 2
2020/10/24, 14, , 12, , 2
2020/10/25, 8, , 14, , 2
2020/10/26, 14, , 14, , 2
2020/10/27, 13, , 9, 1, 3
2020/10/28, 10, , 19, 1, 3
2020/10/29, 18, , 12, 2, 3
2020/10/30, 27, , 11, , 3
2020/10/31, 23, , 12, 1, 3
2020/11/1, 16, , 11, 2, 3
2020/11/2, 10, , 18, 1, 4
2020/11/3, 17, , 30, 2, 7
2020/11/4, 35, , 15, 1, 4
2020/11/5, 17, , 13, 1, 3
2020/11/6, 20, , 10, , 4
2020/11/7, 17, , 8, 1, 3
2020/11/8, 27, , 13, , 3
2020/11/9, 13, , 25, , 4
2020/11/10, 24, , 12, , 3
2020/11/11, 15, , 14, , 2
2020/11/12, 14, , 26, 1, 3
2020/11/13, 30, , 34, , 5
2020/11/14, 36, , 15, , 4
2020/11/15, 38, , 19, 1, 3
2020/11/16, 37, , 18, 5, 3
2020/11/17, 60, , 18, , 2
2020/11/18, 35, , 10, , 3
2020/11/19, 40, , 14, , 3
2020/11/20, 20, , 27, 1, 5
2020/11/21, 45, , 21, , 5
2020/11/22, 30, , 19, , 3
2020/11/23, 30, , 21, 1, 4
2020/11/24, 52, , 31, 1, 5
2020/11/25, 54, , 15, 1, 3
2020/11/26, 18, , 18, 1, 4
2020/11/27, 14, , 17, 1, 4
2020/11/28, 13, , 15, 1, 4
2020/11/29, 23, , 24, , 4
2020/11/30, 22, , 23, , 4
2020/12/1, 16, , 13, , 4
2020/12/2, 6, , 23, , 5
2020/12/3, 22, , 26, , 7
2020/12/4, 26, , 22, 1, 5
2020/12/5, 23, , 25, , 5
2020/12/6, 33, , 17, , 5
2020/12/7, 23, , 18, , 3
2020/12/8, 16, , 21, , 3
2020/12/9, 12, , 15, , 2
2020/12/10, 14, , 21, 1, 3
2020/12/11, 14, , 24, , 3
2020/12/12, 32, , 10, , 2
2020/12/13, 14, , 9, , 2
2020/12/14, 15, , 13, , 3
2020/12/15, 30, , 18, , 3
2020/12/16, 50, , 25, 1, 5
2020/12/17, 43, , 17, , 3
2020/12/18, 40, , 19, 1, 3
2020/12/19, 25, , 14, , 3
2020/12/20, 10, , 12, , 3
2020/12/21, 7, , 21, , 4
2020/12/22, 16, , 18, 1, 4
2020/12/23, 17, , 19, 1, 4
2020/12/24, 17, , 16, 1, 3
2020/12/25, 12, , 25, 1, 4
2020/12/26, 22, , 17, 1, 4
2020/12/27, 36, , 18, 2, 3
2020/12/28, 30, , 20, , 4
2020/12/29, 37, , 23, , 4
2020/12/30, 12, , 27, , 6
2020/12/31, 27, , 30, 2, 5
2021/1/1, 35, , 18, , 4
2021/1/2, 32, , 20, , 4
2021/1/3, 31, , 9, , 
2021/1/4, 7, , 17, , 4
2020/7/2, 13, , 4, , 1
2020/7/3, 10, , 4, , 1
2020/7/4, 15, , 4, 2, 1
2020/7/5, 20, , 2, , 1
2020/7/6, 10, , 6, 2, 1
2020/7/7, 18, , 9, 1, 1
2020/7/8, 17, , 3, , 1
2020/7/9, 11, , 5, , 1
2020/7/10, 20, , 4, 1, 1
2020/7/11, 14, , 3, 1, 1
2020/7/12, 16, , 2, 1, 1
2020/7/13, 17, , 2, 1, 1
2020/7/14, 8, , 2, 1, 1
2020/7/15, 10, , 3, , 1
2020/7/16, 9, , 6, , 1
2020/7/17, 16, , 3, , 1
2020/7/18, 13, , 1, , 1
2020/7/19, 10, , 2, , 1
2020/7/20, 10, , 4, 1, 1
2020/7/21, 16, , 6, 1, 1
2020/7/22, 19, , 7, 6, 1
2020/7/23, 23, , 6, , 1
2020/7/24, 34, , 5, 1, 1
2020/7/25, 9, , 5, , 1
2020/7/26, 12, , 4, 1, 1
2020/7/27, 18, , 6, 2, 1
2020/7/28, 22, , 5, , 1
2020/7/29, 43, , 4, 1, 1
2020/7/30, 33, , 3, 1, 1
2020/7/31, 48, , 6, 1, 1
2020/8/1, 32, , 1, , 1
2020/8/2, 14, , 1, 1, 1
2020/8/3, 25, , 2, , 1
2020/8/4, 23, , 4, 1, 1
2020/8/5, 15, , 7, , 1
2020/8/6, 19, , 6, 1, 1
2020/8/7, 29, , 3, , 
2020/8/8, 13, , 3, 1, 1
2020/8/9, 11, , 2, , 1
2020/8/10, 11, , 4, , 1
2020/8/11, 12, , 8, 1, 1
2020/8/12, 16, , 6, 1, 1
2020/8/13, 19, , 5, 1, 1
2020/8/14, 14, , 5, , 1
2020/8/15, 13, , 3, 1, 2
2020/8/16, 13, , 4, , 2
2020/8/17, 22, , 8, 1, 1
2020/8/18, 27, , 9, 2, 1
2020/8/19, 37, , 6, 1, 
2020/8/20, 16, , 7, 4, 1
2020/8/21, 29, , 6, , 1
2020/8/22, 20, , 3, 1, 
2020/8/23, 16, , 3, 2, 1
2020/8/24, 17, , 6, 1, 1
2020/8/25, 14, , 6, 1, 1
2020/8/26, 15, , 7, , 1
2020/8/27, 20, , 6, , 1
2020/8/28, 12, , 9, 1, 1
2020/8/29, 16, , 3, , 1
2020/8/30, 13, , 2, 1, 1
2020/8/31, 15, , 7, 1, 1
2020/9/1, 14, , 6, , 1
2020/9/2, 13, , 5, , 1
2020/9/3, 12, , 6, , 1
