date, pm25, o3, no2, so2, co
2024/3/2, 16, , 6, , 1
2024/3/3, 29, , , , 
2024/2/2, 13, , 8, 4, 2
2024/2/3, 31, , 12, 6, 2
2024/2/4, 34, , 6, , 2
2024/2/5, 21, , 4, 2, 2
2024/2/6, 17, , 5, , 2
2024/2/7, 17, , 8, 1, 2
2024/2/8, 25, , 18, 1, 2
2024/2/9, 55, , 9, 1, 2
2024/2/10, 17, , 9, 1, 2
2024/2/11, 22, , 14, , 4
2024/2/12, 16, , 7, 1, 2
2024/2/13, 8, , 7, 4, 2
2024/2/14, 10, , 7, 2, 2
2024/2/15, 12, , 13, , 3
2024/2/16, 18, , 7, , 3
2024/2/17, 15, , 15, 1, 3
2024/2/18, 31, , 8, , 2
2024/2/19, 24, , 13, 21, 2
2024/2/20, 43, , 15, 1, 
2024/2/21, 50, , 10, 1, 3
2024/2/22, 35, , 18, 2, 3
2024/2/23, 36, , 4, , 2
2024/2/24, 14, , 4, 3, 1
2024/2/25, 14, , 4, , 1
2024/2/26, 25, , 5, 6, 1
2024/2/27, 28, , 15, 1, 2
2024/2/28, 33, , 6, 1, 1
2024/2/29, 19, , 4, , 1
2024/3/1, 16, , 4, , 1
2024/1/2, 12, , 7, 1, 1
2024/1/3, 19, , 11, 5, 1
2024/1/4, 22, , 7, 2, 1
2024/1/5, 12, , 13, 1, 1
2024/1/6, 15, , 13, 1, 1
2024/1/7, 18, , 10, 1, 1
2024/1/8, 15, , 15, 1, 1
2024/1/9, 15, , 13, 1, 1
2024/1/10, 16, , 10, 1, 1
2024/1/11, 16, , 9, 2, 1
2024/1/12, 20, , 8, , 1
2024/1/13, 19, , 4, , 1
2024/1/14, 16, , 9, 1, 1
2024/1/15, 17, , 14, 1, 2
2024/1/16, 19, , 16, 4, 1
2024/1/17, 21, , 9, 1, 1
2024/1/18, 12, , 6, 1, 1
2024/1/19, 19, , 8, 1, 1
2024/1/20, 16, , 10, 1, 1
2024/1/21, 22, , 5, , 
2024/1/22, 17, , 8, , 
2024/1/23, 13, , 10, 1, 2
2024/1/24, 36, , 11, 1, 2
2024/1/25, 46, , 13, 1, 2
