date, pm25, o3, no2, so2, co
2024/3/2, 39, , 2, , 
2024/3/3, 16, , , , 
2024/2/2, 14, , 12, , 5
2024/2/3, 15, , 4, , 3
2024/2/4, 21, , 4, , 6
2024/2/5, 12, , 10, , 4
2024/2/6, 25, , 9, , 4
2024/2/7, 53, , 4, , 4
2024/2/8, 23, , 8, , 5
2024/2/9, 56, , 9, , 5
2024/2/10, 40, , 5, , 5
2024/2/11, 15, , 3, , 5
2024/2/12, 12, , 6, , 5
2024/2/13, 8, , 4, , 5
2024/2/14, 16, , 13, , 6
2024/2/15, 34, , 10, , 6
2024/2/16, 35, , 12, , 5
2024/2/17, 24, , 6, , 5
2024/2/18, 13, , 4, , 5
2024/2/19, 10, , 14, , 6
2024/2/20, 19, , 4, , 5
2024/2/21, 10, , 6, , 5
2024/2/22, 29, , 1, , 4
2024/2/23, 5, , 1, , 2
2024/2/24, 2, , 2, , 2
2024/2/25, 12, , 3, , 2
2024/2/26, 3, , 2, , 2
2024/2/27, 11, , 6, , 3
2024/2/28, 21, , 9, , 3
2024/2/29, 7, , 1, , 2
2024/3/1, 20, , 3, , 
2024/1/2, 5, , 5, , 4
2024/1/3, 16, , 10, , 5
2024/1/4, 29, , 5, , 4
2024/1/5, 11, , 3, , 4
2024/1/6, 11, , 4, , 4
2024/1/7, 12, , 5, , 5
2024/1/8, 31, , 10, , 6
2024/1/9, 18, , 5, , 5
2024/1/10, 13, , 3, , 5
2024/1/11, 20, , 4, 1, 5
2024/1/12, 17, , 9, , 5
2024/1/13, 20, , 14, , 6
2024/1/14, 23, , 11, , 5
2024/1/15, 49, , 11, , 6
2024/1/16, 55, , 6, , 
2024/1/18, 24, , 18, , 4
2024/1/19, 46, , 21, , 3
2024/1/20, 31, , 8, , 2
2024/1/21, 41, , 8, , 2
2024/1/22, 70, , 14, , 3
2024/1/23, 88, , 3, , 3
2024/1/24, 13, , 6, , 3
2024/1/25, 2, , 1, , 
2024/1/26, 1, , 1, , 3
2024/1/27, 1, , 1, , 3
2024/1/28, 1, , 3, , 3
2024/1/29, 3, , 2, , 3
2024/1/30, 6, , 2, , 3
2024/1/31, 11, , 11, , 5
2024/2/1, 14, , 12, , 5
2023/10/2, 13, , 2, , 3
2023/10/3, 9, , 4, , 3
2023/10/4, 19, , 2, , 3
2023/10/5, 8, , 5, , 3
2023/10/6, 13, , 6, , 3
2023/10/7, 10, , 3, , 3
2023/10/8, 9, , 2, , 3
2023/10/9, 8, , 4, , 4
2023/10/10, 16, , 6, , 4
2023/10/11, 27, , 3, , 4
2023/10/12, 8, , 2, , 4
2023/10/13, 22, , 3, , 4
2023/10/14, 17, , 2, , 4
2023/10/15, 7, , 1, , 4
2023/10/16, 6, , 9, , 5
2023/10/17, 15, , 1, , 4
2023/10/18, 5, , 1, , 3
2023/10/19, 6, , 1, , 1
2023/10/20, 8, , 7, , 2
2023/10/21, 10, , 8, , 2
2023/10/22, 14, , 1, , 2
2023/10/23, 16, , 3, , 2
2023/10/24, 32, , 2, , 2
2023/10/25, 10, , 7, , 3
2023/10/26, 34, , 6, , 3
2023/10/27, 39, , 7, , 3
2023/10/28, 26, , 4, , 3
2023/10/29, 10, , 4, , 3
2023/10/30, 27, , 7, , 3
2023/10/31, 31, , 11, , 4
2023/11/1, 42, , 17, , 5
2023/11/2, 59, , 8, , 4
2023/11/3, 40, , 5, , 4
2023/11/4, 18, , 4, , 4
2023/11/5, 6, , 1, , 4
2023/11/6, 8, , 7, , 4
2023/11/7, 18, , 3, , 4
2023/11/8, 8, , 2, , 4
2023/11/9, 14, , 15, , 5
2023/11/10, 22, , 3, , 3
2023/11/11, 16, , 1, , 2
2023/11/12, 6, , 6, , 2
2023/11/13, 13, , 6, , 2
2023/11/14, 5, , 2, , 2
2023/11/15, 6, , 8, , 2
2023/11/16, 15, , 3, , 2
2023/11/17, 12, , 2, , 2
2023/11/18, 10, , 3, , 2
2023/11/19, 16, , 2, , 3
2023/11/20, 9, , 6, , 3
2023/11/21, 16, , 1, , 3
2023/11/22, 13, , 5, , 3
2023/11/23, 26, , 8, , 4
2023/11/24, 30, , 9, , 4
2023/11/25, 14, , 6, , 4
2023/11/26, 9, , 8, , 4
2023/11/27, 16, , 2, , 4
2023/11/28, 12, , 1, , 4
2023/11/29, 9, , 6, , 4
2023/11/30, 20, , 11, , 5
2023/12/1, 26, , 5, , 5
2023/12/2, 13, , 2, , 5
2023/12/3, 5, , 1, , 5
2023/12/4, 4, , 1, , 5
2023/12/5, 2, , 2, , 5
2023/12/6, 7, , 11, , 6
2023/12/7, 25, , 4, , 5
2023/12/8, 27, , 7, , 6
2023/12/9, 35, , 3, , 6
2023/12/10, 16, , 1, , 6
2023/12/11, 2, , 6, , 6
2023/12/12, 10, , 7, , 7
2023/12/13, 11, , 2, , 2
2023/12/14, 7, , 6, , 2
2023/12/15, 6, , 7, , 2
2023/12/16, 10, , 2, 1, 2
2023/12/17, 5, , 5, , 2
2023/12/18, 12, , 8, , 2
2023/12/19, 7, , 9, , 3
2023/12/20, 43, , 1, , 2
2023/12/21, 4, , 8, , 4
2023/12/22, 6, , 5, , 2
2023/12/23, 8, , 7, , 4
2023/12/24, 14, , 4, , 3
2023/12/25, 5, , 1, , 3
2023/12/26, 6, , 1, , 3
2023/12/27, 5, , 9, , 4
2023/12/28, 8, , 1, , 3
2023/12/29, 3, , 14, , 5
2023/12/30, 16, , 8, , 4
2023/12/31, 7, , 1, , 3
2024/1/1, 3, , 2, , 
2023/7/2, 22, , 1, , 1
2023/7/3, 20, , 1, , 1
2023/7/4, 34, , 1, , 1
2023/7/5, 37, , 2, , 2
2023/7/6, 32, , 3, , 2
2023/7/7, 115, , 2, , 2
2023/7/8, 45, , 2, 1, 2
2023/7/9, 31, , 2, , 2
2023/7/10, 46, , 3, , 2
2023/7/11, 39, , 3, , 2
2023/7/12, 104, , 4, , 2
2023/7/13, 28, , 3, , 2
2023/7/14, 69, , 3, , 4
2023/7/15, 128, , 4, , 4
